sample_id,SessionTime,Time,Date,Driver,LapNumber,X,Y,Z,x_aligned,x_aligned,y_aligned,y_aligned,proj_x,proj_y,s_m,s_unwrapped_m,progress,d_m,d_raw,d_smooth,d_final,w_left,w_right,track_width,left_margin,right_margin,x_ref,y_ref,ref_heading,curvature,turn_sign,tangent_x,tangent_y,normal_x,normal_y,ds_dt,dd_dt,d2d_dt2,Speed,RPM,nGear,Throttle,Brake,DRS,Distance,RelativeDistance,DriverAhead,DistanceToDriverAhead,Status,Source
0,0 days 00:56:09.187000,0 days 00:00:00.200000,2025-07-06 14:03:49.800,LAW,1.0,-1713.9733630168284,1265.0393718818284,1962.9991290228004,8.202335617912354,8.202335617912354,12.902904555758425,12.902904555758425,11.439238841723046,10.561083635111498,13.647060610116123,13.647060610116123,0.0023182458485900156,3.995205589790803,3.995205589790803,3.981327818293575,3.981327818293575,6.538,6.56,13.097999999999999,2.5566721817064253,10.541327818293574,8.213631411864583,12.894841957037777,0.9444656602587158,8.923577616588136e-06,1.0,0.5861758760991813,0.8101838323981523,-0.8101838323981523,0.5861758760991813,-0.19222954257106717,0.0,0.0,0.0,10219.98003456,2,20.0,True,1,0.0015252960159149367,8.949490755933266e-07,,0.0,OnTrack,interpolation
1,0 days 00:56:09.387000,0 days 00:00:00.400000,2025-07-06 14:03:50.000,LAW,1.0,-1714.1899811547787,1264.7190847078398,1963.0060283487899,8.180829587648873,8.180829587648873,12.871011097761198,12.871011097761198,11.416703472554046,10.529934878829676,13.608614701601857,13.608614701601857,0.00231171498671765,3.9939351098707156,3.9939351098707156,3.981327818293575,3.981327818293575,6.538,6.56,13.097999999999999,2.5566721817064253,10.541327818293574,8.191096042695582,12.863693200755955,0.9444656602587158,8.923577616588136e-06,1.0,0.5861758760991813,0.8101838323981523,-0.8101838323981523,0.5861758760991813,0.12985319306734566,0.0,0.0,0.0,9939.4874016,2,20.0,True,1,-0.018510940566527353,-1.0861071539900057e-05,,0.0,OnTrack,interpolation
2,0 days 00:56:09.587000,0 days 00:00:00.600000,2025-07-06 14:03:50.200,LAW,1.0,-1713.6800989406236,1265.4716457054028,1962.9874632835526,8.231451305816961,8.231451305816961,12.945949510899197,12.945949510899197,11.469684626532223,10.603166297424142,13.699001887343073,13.699001887343073,0.002327069188189796,3.996847285640408,3.996847285640408,3.981327818293575,3.981327818293575,6.538,6.56,13.097999999999999,2.5566721817064253,10.541327818293574,8.244077196673759,12.936924619350421,0.9444656602587158,8.923577616588136e-06,1.0,0.5861758760991813,0.8101838323981523,-0.8101838323981523,0.5861758760991813,1.347009379683785,0.0,0.0,3.0625013333333335,8828.999552,2,20.612500266666668,True,1,0.1587325010836187,9.31343841648922e-05,,0.0,OnTrack,interpolation
3,0 days 00:56:09.787000,0 days 00:00:00.800000,2025-07-06 14:03:50.400,LAW,1.0,-1711.245437564099,1269.2740043979165,1963.1700346079347,8.473138629082712,8.473138629082712,13.324560750392152,13.324560750392152,11.732527494597772,10.966472013713496,14.147418453474883,14.14741845347488,0.0024032423563593195,4.022958894482305,4.022958894482305,3.981327818293575,3.981327818293575,6.538,6.56,13.097999999999999,2.5566721817064253,10.541327818293574,8.506920064739308,13.300230335639775,0.9444656602587158,8.923577616588136e-06,1.0,0.5861758760991813,0.8101838323981523,-0.8101838323981523,0.5861758760991813,2.1806004080042136,0.0,-0.13333543619713548,7.6750016,7428.999552,2,21.53500032,False,1,0.6035054196687599,0.0003540995399008766,81,0.0,OnTrack,interpolation
4,0 days 00:56:09.987000,0 days 00:00:01,2025-07-06 14:03:50.600,LAW,1.0,-1708.9248113543488,1272.85368368031,1963.8843296876803,8.70351189391232,8.70351189391232,13.681003125461245,13.681003125461245,11.980955002012854,11.309852582460397,14.571242050544956,14.571242050544956,0.00247523788144066,4.045242665701144,4.045242665701144,3.981327818293575,3.981327818293575,6.538,6.56,13.097999999999999,2.5566721817064253,10.541327818293574,8.75534757215439,13.643610904386676,0.9444656602587158,8.923577616588136e-06,1.0,0.5861758760991813,0.8101838323981523,-0.8101838323981523,0.5861758760991813,3.200697078270696,-0.05333417447886632,-0.33568625581979483,11.7833344,5904.166144000001,2,25.120835200000002,False,1,1.2601622736771745,0.000739385044055518,81,0.009907413333333396,OnTrack,interpolation
5,0 days 00:56:10.187000,0 days 00:00:01.200000,2025-07-06 14:03:50.800,LAW,1.0,-1703.2723098256347,1279.3866240695622,1964.1271773278502,9.26494835417708,9.26494835417708,14.331708269120782,14.331708269120782,12.482958506572507,12.003760392868701,15.42769728478345,15.42769728478345,0.0026207251660655124,3.971766691973059,3.971766691973059,3.9599941485020236,3.9599941485020236,6.539,6.562,13.100999999999999,2.579005851497976,10.521994148502024,9.274535101696767,14.324874976687397,0.9445088146903454,8.337378835455881e-06,1.0,0.5861409125305704,0.8102091277305078,-0.8102091277305078,0.5861409125305704,5.055412794793558,-0.13427450232794846,-0.3375248964659286,15.6750016,4705.535606857143,2,29.0,False,1,2.157348548331271,0.001265798290244369,4,0.05678574730158738,OnTrack,interpolation
6,0 days 00:56:10.387000,0 days 00:00:01.400000,2025-07-06 14:03:51.000,LAW,1.0,-1696.157716889073,1288.7014167386706,1964.0006133427173,9.971457060053467,9.971457060053467,15.259366078056189,15.259366078056189,13.166209074517976,12.94824342305506,16.59340716846284,16.59340716846284,0.002818745983566454,3.9430607857836164,3.9430607857836164,3.9276180173623834,3.9276180173623834,6.539,6.562,13.100999999999999,2.6113819826376163,10.489618017362384,9.984017106612173,15.250381031823355,0.9445088146903454,8.337378835455881e-06,1.0,0.5861409125305704,0.8102091277305078,-0.8102091277305078,0.5861409125305704,5.6648630948196965,-0.18834413306526845,-0.27561536448634577,20.675001599999998,4369.821321142857,2,29.0,False,1,3.366803550803111,0.0019754314533419783,4,0.15996035047619037,OnTrack,interpolation
7,0 days 00:56:10.587000,0 days 00:00:01.600000,2025-07-06 14:03:51.200,LAW,1.0,-1690.05560180247,1297.937677714595,1964.001457441563,10.577250707128997,10.577250707128997,16.179071721923663,16.179071721923663,13.81108344779821,13.83967759192333,17.693642522711844,17.693642522711844,0.003005644548417044,3.991295415038101,3.991295415038101,3.884656495275899,3.884656495275899,6.539,6.562,13.100999999999999,2.6543435047241006,10.4466564952759,10.66369929722807,16.116633694932155,0.9445088146903454,8.337378835455881e-06,1.0,0.5861409125305704,0.8102091277305078,-0.8102091277305078,0.5861409125305704,7.880014832441161,-0.24452064812251184,-0.288855343919217,25.155556977777778,4524.611171555555,2,33.6750016,False,1,4.866163359934039,0.0028551627718287806,22,0.12049381135802495,OnTrack,interpolation
8,0 days 00:56:10.787000,0 days 00:00:01.800000,2025-07-06 14:03:51.400,LAW,1.0,-1676.9707183292742,1313.9246028664297,1963.9996803262447,11.876791786694298,11.876791786694298,17.77132591169311,17.77132591169311,15.01367547591294,15.502065910468291,19.745413101436437,19.745413101436437,0.0033541817728257625,3.871637926362024,3.871637926362024,3.8298097581134676,3.8298097581134676,6.539,6.562,13.100999999999999,2.709190241886532,10.391809758113467,11.91072865241804,17.7468740969074,0.9445088146903454,8.337378835455881e-06,1.0,0.5861409125305704,0.8102091277305078,-0.8102091277305078,0.5861409125305704,12.595452871380864,-0.3038862706328502,-0.30356738035617026,29.843752,4751.9564016,2,38.1687504,False,1,6.600008144907891,0.0038724753271257117,44,0.09277781333333404,OnTrack,interpolation
9,0 days 00:56:10.987000,0 days 00:00:02,2025-07-06 14:03:51.600,LAW,1.0,-1658.7872448616843,1337.8175623106927,1964.0013273274567,13.682474546393621,13.682474546393621,20.150810533015658,20.150810533015658,16.763996771091833,17.921781483460627,22.731823671265335,22.731823671265335,0.0038614876391570964,3.803202561666841,3.803202561666841,3.7631019870227314,3.7631019870227314,6.54,6.564,13.104,2.7768980129772687,10.327101987022731,13.71500850719318,20.127366923053188,0.9445490230476313,7.745512522983477e-06,1.0,0.5861083348786846,0.8102326948387949,-0.8102326948387949,0.5861083348786846,9.891001742271255,-0.36594760026500756,-0.42852028678106113,35.4656264,5031.6155911999995,2,39.8375008,False,1,8.561702949355384,0.0050234761384557155,44,0.26902787555555635,OnTrack,interpolation
