progress,s_m,d_raw,d_smooth,d_final,x_ref,y_ref
0.00022420856439467747,1.3198720357732059,4.240707538637046,3.7780963529793326,3.7780963529793326,1.1523635879415677,2.7888827368024467
0.00034593045789980357,2.0364250533286494,4.232965526564179,3.7780963529793326,3.7780963529793326,1.5724301852728235,3.3693930991340353
0.00045179156575273936,2.65960872299929,4.2101625268272755,3.7780963529793326,3.7780963529793326,1.9377606454305685,3.874260944243125
0.0006413069361287601,3.7752487003740782,4.210398534958019,3.7780963529793326,3.7780963529793326,2.5917849502075487,4.778088786189702
0.003932680147627798,23.150920066359404,3.764670951287991,3.7780963529793326,3.7780963529793326,13.948488896446419,20.475725604011643
0.00403340567429785,23.743871572468265,3.747479892256935,3.589604117868109,3.589604117868109,14.448735984740624,20.845684160311695
0.0055786470831773235,32.84040599614269,3.428506587106123,3.323480343603736,3.323480343603736,19.995324551081104,28.06014665129705
0.006664194862993939,39.23081379320387,3.1199523281956134,3.049000168515642,3.049000168515642,23.96258200508529,33.077333073674296
0.006902138392732747,40.63154088783254,3.048023290980811,2.774950156638218,2.774950156638218,25.00542498100076,34.05169064605778
0.008655191172469325,50.95142027092235,2.5442774226360374,2.551452411718284,2.551452411718284,31.233663949695753,42.28310495147878
0.012750278301851445,75.05839852449054,1.8378515581848216,2.330003074653815,2.330003074653815,45.53789629189646,61.68865460590605
0.014828936046786239,87.29505075447983,1.739840951034425,2.1444878731165975,2.1444878731165975,52.8575347459473,71.49640154552253
0.015207951198294186,89.52623893839365,1.7439484280612048,1.993258557780826,1.993258557780826,54.28730031734846,73.21594760383151
0.01693004630964822,99.66387657304188,1.753191247008587,1.8497427517298728,1.8497427517298728,60.342954457186686,81.3474148834705
0.017394675189240608,102.3990560557806,1.7544358586767101,1.7594791207909735,1.7594791207909735,62.01854819295294,83.5111346736763
0.021109706954680837,124.26872259796612,1.75886977327117,1.746706580120572,1.746706580120572,74.8414727984304,101.22706685369168
0.021263285389287612,125.17280885213117,1.7588884901736663,1.7383649329963786,1.7383649329963786,75.37790046868082,101.95486350407354
0.02247971217087874,132.3336757749553,1.7563810365222348,1.722935263984947,1.722935263984947,79.58567281076654,107.74907942743502
0.023279528763915078,137.04203987222402,1.7319047441859403,1.7057696996090383,1.7057696996090383,82.35803919334052,111.55473469941705
0.023577270101558658,138.79478498484025,1.7228986921512082,1.694992405891619,1.694992405891619,83.39364300664288,112.96886212753813
0.025510105472029893,150.17300937214597,1.6647661269166856,1.6861417096466202,1.6861417096466202,90.06697703419775,122.18467679278781
0.027954503984193323,164.56270607798123,1.605081406958321,1.6868686146580234,1.6868686146580234,98.4970859520837,133.84646847721137
0.029406213288906552,173.10863526911538,1.5987011676254106,1.7033827442664056,1.7033827442664056,103.49079367031791,140.78164250250865
0.03090828093212876,181.9510141652171,1.6574402152199337,1.7426881657348237,1.7426881657348237,108.63987292756121,147.9703101005248
0.0313688552246845,184.66232508583943,1.6792135070661822,1.83249028873109,1.83249028873109,110.15573436603593,150.22007278657316
0.03301718304103722,194.36570905988495,1.7654306352762936,1.9580260393766389,1.9580260393766389,115.73969221307613,158.1568149166804
0.034242752991220586,201.58040003075934,1.9050082029976754,2.1742237569853105,2.1742237569853105,119.79212288130752,164.1298620248559
0.035334873848723136,208.0095022525855,2.0856535374017025,2.4192299660883325,2.4192299660883325,123.36099498171248,169.48309099379335
0.037526742732651344,220.91260635027598,2.531117799117607,2.696085099009077,2.696085099009077,130.69823380949057,180.10080115911754
0.03871643445560747,227.91608920366295,2.794587882726622,2.9849392069163603,2.9849392069163603,134.568663739134,185.94484657731985
0.04184196525762157,246.31547869025005,3.550860865436369,3.3035072003818176,3.3035072003818176,145.0947886283401,201.03960445278554
0.04286090173945564,252.31375878375505,3.8037570495526096,3.6141188525914,3.6141188525914,148.35911378411888,206.08150922894126
0.044297115389633795,260.76846808258904,4.149136411506633,3.9083457644154254,3.9083457644154254,153.07607105406234,213.10381674182926
0.04501557105543938,264.9978762891835,4.278900478231731,4.141449787387268,4.141449787387268,155.36578802875755,216.66745751971055
0.047392968967413816,278.99315354539505,4.632542576465406,4.2887326645592,4.2887326645592,163.44203838126646,228.09515129079458
0.04805314529527515,282.879482670137,4.700513072883918,4.3199462839677025,4.3199462839677025,165.6903747414328,231.26351973026922
0.05184496091907711,305.201160792362,4.733695743817932,4.290399252990921,4.290399252990921,178.74974137656085,249.3525724339308
0.05291593056016895,311.50574993352836,4.629054005864191,4.1817651950343695,4.1817651950343695,182.51060415422148,254.41000865500075
0.055208337718445744,325.0007032194774,4.12013377727401,3.9871744979690242,3.9871744979690242,190.51379183941162,265.26918884336504
0.05601248898495228,329.73458469300226,3.831783440112889,3.636475230551583,3.636475230551583,193.54405862050524,268.91814203155076
0.05681403173048518,334.45311031294005,3.537833770761584,3.237881380402847,3.237881380402847,196.60110168489012,272.5297072135307
0.057691322045220296,339.61754708099886,3.171429889897663,2.5850801359331554,2.5850801359331554,200.11995936613187,276.36094140337497
0.05886138851453043,346.5054998985363,2.5275842046436248,1.9333965371200026,1.9333965371200026,204.63023326670066,281.60282617688347
0.060404602947529494,355.5901019110249,1.476249169708439,1.144396547303422,1.144396547303422,210.53769345740207,288.5565347138631
0.060872691372595655,358.3456470623974,1.1131684215452906,0.20997967176530896,0.20997967176530896,212.90308519174175,290.25364765459057
0.06314245171729359,371.70728297921374,-1.14151545640929,-0.7677883461101265,-0.7677883461101265,221.53748651013285,300.49974464626405
0.06322142650627743,372.1721921399868,-1.2360983834541894,-1.6358089368222204,-1.6358089368222204,222.51168582669067,300.3681682358894
0.06449820949051539,379.68836424160327,-2.980866131075212,-2.3821213702898487,-2.3821213702898487,227.44867850656792,306.1102351516553
0.06576311620885847,387.1346230850603,-4.57796843973013,-2.8963819549201437,-2.8963819549201437,232.30300395078606,311.52864985674296
0.06687965840396279,393.7074889524179,-5.262078390117335,-3.323168776445367,-3.323168776445367,237.14216928802585,315.4206745326561
0.06857039492332473,403.6605246796264,-4.640755426511182,-3.371709062656559,-3.371709062656559,245.05479938114422,319.61033343294747
0.06907427202787066,406.62675079838357,-4.18922769656503,-3.3136539982845603,-3.3136539982845603,247.48555386393468,320.55020776909316
0.07006766244521577,412.4746461988058,-3.152096091964216,-3.0211300310238673,-3.0211300310238673,252.79909644107258,322.5726104601877
0.07052322145442622,415.1564331257448,-2.7279129721817164,-2.114723470380409,-2.114723470380409,255.0431063365255,324.2084765349144
0.07186535609248121,423.0573176516948,-1.578378032310023,-1.120042219213161,-1.120042219213161,262.3448017972415,327.27428511723645
0.07299243830872941,429.6922305653007,-0.7136028041061981,-0.00869864208950667,-0.00869864208950667,268.5112612833592,329.8464315185372
0.07349716704166949,432.66347005411063,-0.34815042572897786,1.0769448696343893,1.0769448696343893,271.228877406891,331.4229406775257
0.07766663336743651,457.20830411223636,3.5796906060609963,2.1327347455270114,2.1327347455270114,295.91050736682644,333.98251270466244
0.07775491999370394,457.7280302407085,3.6900528703878996,3.15321823705728,3.15321823705728,296.4363375834019,334.9938722214132
0.07980402469593338,469.7907094793265,5.361336767601706,4.017152567502251,4.017152567502251,308.62367172953526,335.44235801149046
